('23.49460091', '87.3172119') ['11:33:50']
('23.50027377', '87.30600691') ['11:30:55']
('23.50360975', '87.30767707') ['11:28:58']
('23.51147504', '87.31060076') ['11:27:01']
('23.52824647', '87.31119009') ['11:23:20']
('23.53572177', '87.29783287') ['11:18:21']
('23.53572224', '87.29757144') ['11:17:20']
('23.53573141', '87.29789771') ['11:19:20']
('23.53617469', '87.29579938') ['11:16:26']
('23.53750968', '87.29673601') ['11:15:30']
('23.53929301', '87.29844332') ['11:14:11']
('23.54040882', '87.29924122') ['11:13:36']
('23.54174441', '87.29992638') ['11:12:58']
('23.54236448', '87.30693899') ['11:09:24']
('23.54261052', '87.3007143') ['11:12:23']
('23.54333757', '87.3046267') ['11:10:44']
('23.54429483', '87.30821293') ['11:08:23']
('23.54435557', '87.30819376') ['11:07:50']
('23.54458193', '87.30212419') ['11:11:41']
('23.54663285', '87.30990434') ['11:03:13']
('23.5482582', '87.30381603') ['11:01:21']
('23.55194821', '87.29688502') ['10:59:17']
('23.56009581', '87.29875279') ['10:56:57']
('23.5603398', '87.29876874') ['10:55:53']
('23.5649886', '87.29875246') ['10:55:02']
('23.56784093', '87.30232699') ['10:53:36']
('23.56812688', '87.29887716') ['10:54:21']
('23.57072885', '87.30251465') ['10:52:53']
('23.57205799', '87.27845189') ['10:27:27']
('23.57209184', '87.27730827') ['10:27:54']
('23.57211556', '87.30253293') ['10:52:19']
('23.57225821', '87.30253696') ['10:51:07']
('23.5740622', '87.30068395') ['10:49:47']
('23.57413121', '87.29916779') ['10:45:59']
('23.57415333', '87.29575134') ['10:45:15']
('23.57420365', '87.30254156') ['10:50:30']
('23.57505', '87.29147832') ['10:43:58']
('23.57645803', '87.27494926') ['10:29:04']
('23.57864983', '87.28265986') ['10:35:35']
('23.57869967', '87.27364491') ['10:29:42']
('23.57931666', '87.2915549') ['10:42:56']
('23.57957058', '87.27345454') ['10:30:14']
('23.580287769999998', '87.27948689') ['10:34:41']
('23.58237578', '87.27604009') ['10:31:17']
('23.58702549', '87.28796402') ['10:40:18']
('23.58884923', '87.28205422') ['10:38:28']
