lat,lng
23.49344566,87.3160514
23.49460091,87.3172119
23.49466727,87.31719271
23.49472805,87.3170645
23.4947281445,87.3170604733
23.49475703,87.31711362
23.49477537,87.31707547
23.49646958,87.31363616
23.49650602,87.31362532
23.4966155907,87.3135211081
23.49897785,87.30944598
23.50020154,87.3058761
23.50021886,87.30610932
23.50027377,87.30600691
23.5002784817,87.3059276271
23.5003125203,87.3059353347
23.50035224,87.30593339
23.503111133,87.307464263
23.50316296,87.30741715
23.50321403,87.30746376
23.50353737,87.30770853
23.50357053,87.3077183
23.50360975,87.30767707
23.50361626,87.30776569
23.5036674656,87.3077440368
23.5036824,87.30778477
23.50717749,87.30985629
23.50729223,87.30989167
23.51116761,87.31067678
23.51147504,87.31060076
23.51934134,87.31129692
23.5194103323,87.3112462509
23.51952544,87.31113652
23.5260274864,87.3111757224
23.5266987056,87.3112083076
23.5271353052,87.3111595277
23.52714482,87.31118466
23.52714866,87.31122995
23.52720688,87.31117751
23.52723599,87.31117791
23.52811361,87.31119533
23.52817485,87.31120561
23.52820869,87.31117199
23.52823731,87.31114873
23.52824647,87.31119009
23.52827114,87.31117783
23.52831685,87.31114803
23.52832041,87.31114604
23.5283225984,87.3110946461
23.52841901,87.31108421
23.52890333,87.31050518
23.53332021,87.30653326
23.53333015,87.30659269
23.53340316,87.30646219
23.5334958467,87.3064905492
23.53511171,87.29761608
23.5351309,87.29765496
23.53514085,87.29757603
23.53514644,87.29759056
23.53547133,87.29874399
23.53550237,87.29722424
23.5355341,87.29877114
23.53568098,87.29755136
23.53568518,87.2980973
23.53570547,87.29758065
23.53570686,87.2974907
23.53572177,87.29783287
23.53572212,87.29800808
23.53572224,87.29757144
23.53572321,87.29791447
23.53573141,87.29789771
23.53575411,87.29752173
23.535763938,87.2974597341
23.53585496,87.29781801
23.53601491,87.29580597
23.5360278972,87.2958965246
23.53617469,87.29579938
23.53633439,87.29603714
23.53719891,87.2965475
23.53749694,87.29677114
23.53750968,87.29673601
23.53751649,87.29673897
23.53753749,87.29676995
23.53754549,87.2967556
23.537557205,87.2968367846
23.53759359,87.29679184
23.53769392,87.29666467
23.53786186,87.29754385
23.53830821,87.29788084
23.53846257,87.29793186
23.53879937,87.29802642
23.53889421,87.29821717
23.53892519,87.29817039
23.53929301,87.29844332
23.54030396,87.29911832
23.54040882,87.29924122
23.5404191729,87.2990274813
23.54042796,87.29917052
23.54164808,87.30002658
23.54169302,87.3001111
23.54170623,87.30010434
23.54170894,87.29998519
