('23.5003118', '87.30588696') ['12:07:39']
('23.50323741', '87.30748156') ['12:08:29']
('23.50326031', '87.30750151') ['12:09:09']
('23.52629749', '87.31116783') ['12:14:46']
('23.526775', '87.31115429') ['12:15:43']
('23.53448305', '87.30082946') ['12:20:14']
('23.53517478', '87.29764817') ['12:20:58']
('23.53584112', '87.2960548') ['12:24:06']
('23.53624717', '87.29591975') ['12:24:45']
('23.53746707', '87.29673697') ['12:25:19']
('23.53788402', '87.29750184') ['12:26:08']
('23.54234879', '87.30698289') ['12:29:55']
('23.54291164', '87.3008687') ['12:27:48']
('23.54436004', '87.30823736') ['12:30:38']
('23.54461588', '87.30209212') ['12:28:22']
('23.54669471', '87.30987861') ['12:31:27']
('23.54822434', '87.30381217') ['12:32:42']
('23.55209106', '87.29678314') ['12:34:33']
('23.55749705', '87.29870687') ['12:35:44']
('23.55993203', '87.29870286') ['12:36:26']
('23.56409555', '87.28346807') ['13:08:25']
('23.56425937', '87.2831372') ['13:08:50']
('23.56818309', '87.30243063') ['12:39:08']
('23.57200637', '87.27753608') ['13:03:48']
('23.57200752', '87.30255067') ['12:40:06']
('23.57207554', '87.27835422') ['13:04:09']
('23.57372311', '87.27652314') ['13:03:07']
('23.57400523', '87.29934221') ['12:42:39']
('23.5740387', '87.29875646') ['12:43:33']
('23.57489591', '87.29149414') ['12:45:26']
('23.57650896', '87.27494073') ['13:01:50']
('23.57864929', '87.28243696') ['12:56:36']
('23.57924715', '87.29155478') ['12:46:40']
('23.5795627', '87.27354973999999') ['13:00:34']
('23.58008753', '87.28748632') ['12:47:55']
('23.58028887', '87.27949535') ['12:57:29']
('23.58031072', '87.27947036') ['12:57:38']
('23.58213082', '87.27616768') ['12:58:33']
('23.58466216', '87.2875392') ['12:49:05']
('23.58718943', '87.28355337') ['12:53:40']
('23.58886449', '87.28216935') ['12:51:40']
('23.59069072', '87.28443225') ['12:50:37']
