('23.49475703', '87.31711362') ['18:17:32']
('23.50357053', '87.3077183') ['18:13:11']
('23.52723599', '87.31117791') ['18:07:23']
('23.52823731', '87.31114873') ['18:06:32']
('23.52827114', '87.31117783') ['18:06:03']
('23.5355341', '87.29877114') ['18:02:02']
('23.53570686', '87.2974907') ['17:56:21']
('23.535854959999998', '87.29781801') ['17:57:58']
('23.53769392', '87.29666467') ['17:54:33']
('23.53879937', '87.29802642') ['17:53:19']
('23.54170894', '87.29998519') ['17:52:02']
('23.54249277', '87.3068678') ['17:49:34']
('23.54467855', '87.30191157') ['17:50:59']
('23.54661115', '87.30992543') ['17:48:23']
('23.54810234', '87.30764332') ['17:47:30']
('23.56012892', '87.29883756') ['17:42:39']
('23.56786238', '87.30227218') ['17:40:07']
('23.5682254', '87.2988805') ['17:40:57']
('23.57210414', '87.27849565') ['17:16:06']
('23.57221919', '87.28250521') ['17:15:18']
('23.57230077', '87.3025993') ['17:37:13']
('23.57372018', '87.27642885') ['17:17:07']
('23.57411954', '87.29935459') ['17:33:38']
('23.57651426', '87.27484218') ['17:17:51']
('23.5786659', '87.2828406') ['17:23:25']
('23.57929027', '87.2915295') ['17:31:04']
('23.57977512', '87.27348594') ['17:18:38']
('23.58016289', '87.28747951') ['17:29:52']
('23.58231574', '87.27608576') ['17:19:45']
('23.58333866', '87.28751421') ['17:29:05']
('23.58450723', '87.28344914') ['17:25:17']
('23.58472649', '87.28751016') ['17:28:38']
('23.58882135', '87.28199686') ['17:26:30']
