('23.494728144529557', '87.31706047333542') ['11:54:02']
('23.496615590726908', '87.31352110810076') ['11:52:41']
('23.500312520288595', '87.30593533474985') ['11:51:05']
('23.50366746564445', '87.30774403681106') ['11:50:13']
('23.519410332321236', '87.31124625086346') ['11:47:17']
('23.527135305189375', '87.31115952765983') ['11:45:13']
('23.52832259841502', '87.31109464609935') ['11:43:23']
('23.533495846727842', '87.30649054921999') ['11:41:57']
('23.535763937982924', '87.29745973411082') ['11:35:07']
('23.536027897222137', '87.2958965245803') ['11:34:12']
('23.537557204971247', '87.29683678464671') ['11:33:20']
('23.540419172919954', '87.29902748126628') ['11:31:46']
('23.543877555880094', '87.3042855697754') ['11:29:27']
('23.54614979784616', '87.30206996039004') ['11:30:17']
('23.572476963983096', '87.30305072504585') ['11:11:08']
('23.573723453667494', '87.27653584846249') ['10:50:18']
('23.573752425314826', '87.29566239612919') ['11:06:37']
('23.57399567386296', '87.29924654194082') ['11:07:45']
('23.574218427406123', '87.30246839124099') ['11:09:54']
('23.578544797724774', '87.28269595713827') ['10:56:22']
('23.579860883539872', '87.27329377194293') ['10:51:34']
('23.58232723949779', '87.27603612211192') ['10:52:44']
('23.586560254479508', '87.2878809796277') ['11:01:53']
('23.588925512132477', '87.28193952009397') ['10:59:28']
('23.590749548143208', '87.28454845835897') ['11:00:24']
('23.590833471206228', '87.2846887832051') ['11:00:53']
