('23.5036824', '87.30778477') ['18:13:10']
('23.53568098', '87.29755136') ['17:56:22']
('23.53570547', '87.29758065') ['17:57:03']
('23.53749694', '87.29677114') ['17:54:34']
('23.53892519', '87.29817039') ['17:53:20']
('23.54169302', '87.3001111') ['17:52:03']
('23.54246089', '87.30689925') ['17:49:37']
('23.54468555', '87.30201209') ['17:51:01']
('23.54667887', '87.30991661') ['17:48:24']
('23.54822438', '87.3037068') ['17:46:43']
('23.54822685', '87.30762506') ['17:47:31']
('23.56012038', '87.2988264') ['17:42:39']
('23.56786411', '87.30225087') ['17:40:10']
('23.57216156', '87.27845772') ['17:16:09']
('23.57228459', '87.30253982') ['17:37:14']
('23.57364231', '87.27651833') ['17:17:09']
('23.57408278', '87.29925388') ['17:33:39']
('23.57650889', '87.27488148') ['17:17:51']
('23.57866983', '87.28268347') ['17:23:28']
('23.57936861', '87.29153962') ['17:31:05']
('23.57959263', '87.27340534') ['17:18:37']
('23.58023736', '87.2874719') ['17:29:55']
('23.58231774', '87.27599797') ['17:19:44']
('23.58326005', '87.28754077') ['17:29:08']
('23.58448365', '87.28340154') ['17:25:18']
('23.58467648', '87.28753706') ['17:28:40']
('23.58881175', '87.28195246') ['17:26:29']
