Reliance
#signalStrength,time
28,05/19/2015 11:45:51,
28,05/19/2015 11:46:44,
16,05/19/2015 11:46:44,
16,05/19/2015 11:46:45,
16,05/19/2015 11:46:46,
19,05/19/2015 11:46:51,
19,05/19/2015 11:46:54,
19,05/19/2015 11:46:54,
19,05/19/2015 11:46:54,
18,05/19/2015 11:46:58,
25,05/19/2015 11:47:00,
20,05/19/2015 11:47:04,
9,05/19/2015 11:47:07,
8,05/19/2015 11:47:09,
25,05/19/2015 11:47:13,
25,05/19/2015 11:47:19,
16,05/19/2015 11:47:19,
16,05/19/2015 11:47:19,
16,05/19/2015 11:47:22,
20,05/19/2015 11:47:22,
18,05/19/2015 11:47:31,
18,05/19/2015 11:47:31,
18,05/19/2015 11:47:31,
18,05/19/2015 11:47:31,
19,05/19/2015 11:47:38,
19,05/19/2015 11:47:42,
10,05/19/2015 11:47:42,
10,05/19/2015 11:47:42,
10,05/19/2015 11:47:42,
10,05/19/2015 11:47:45,
19,05/19/2015 11:47:49,
19,05/19/2015 11:47:51,
19,05/19/2015 11:47:54,
19,05/19/2015 11:47:54,
19,05/19/2015 11:47:54,
20,05/19/2015 11:47:56,
24,05/19/2015 11:48:07,
31,05/19/2015 11:48:14,
22,05/19/2015 11:48:18,
14,05/19/2015 11:48:20,
14,05/19/2015 11:48:23,
18,05/19/2015 11:48:23,
18,05/19/2015 11:48:23,
18,05/19/2015 11:48:25,
22,05/19/2015 11:48:29,
30,05/19/2015 11:48:32,
30,05/19/2015 11:48:33,
30,05/19/2015 11:48:33,
30,05/19/2015 11:48:33,
20,05/19/2015 11:48:38,
23,05/19/2015 11:48:41,
24,05/19/2015 11:48:45,
23,05/19/2015 11:48:47,
21,05/19/2015 11:48:56,
19,05/19/2015 11:49:03,
26,05/19/2015 11:49:05,
26,05/19/2015 11:49:07,
20,05/19/2015 11:49:07,
20,05/19/2015 11:49:07,
20,05/19/2015 11:49:10,
23,05/19/2015 11:49:14,
31,05/19/2015 11:49:16,
31,05/19/2015 11:49:19,
31,05/19/2015 11:49:19,
31,05/19/2015 11:49:19,
25,05/19/2015 11:49:30,
13,05/19/2015 11:49:32,
11,05/19/2015 11:49:34,
16,05/19/2015 11:49:41,
18,05/19/2015 11:49:43,
25,05/19/2015 11:50:04,
31,05/19/2015 11:50:15,
24,05/19/2015 11:50:17,
26,05/19/2015 11:50:24,
31,05/19/2015 11:50:35,
9,05/19/2015 11:50:42,
20,05/19/2015 11:50:53,
24,05/19/2015 11:50:57,
9,05/19/2015 11:51:01,
14,05/19/2015 11:51:06,
21,05/19/2015 11:51:24,
24,05/19/2015 11:51:31,
31,05/19/2015 11:51:37,
24,05/19/2015 11:51:40,
23,05/19/2015 11:51:46,
19,05/19/2015 11:51:51,
18,05/19/2015 11:51:55,
25,05/19/2015 11:51:58,
27,05/19/2015 11:52:04,
19,05/19/2015 11:52:07,
24,05/19/2015 11:52:09,
31,05/19/2015 11:52:13,
14,05/19/2015 11:52:16,
22,05/19/2015 11:52:18,
15,05/19/2015 11:52:22,
17,05/19/2015 11:52:25,
15,05/19/2015 11:52:36,
24,05/19/2015 11:52:40,
17,05/19/2015 11:52:43,
16,05/19/2015 11:52:45,
18,05/19/2015 11:52:49,
25,05/19/2015 11:52:54,
17,05/19/2015 11:52:58,
20,05/19/2015 11:53:07,
26,05/19/2015 11:53:09,
24,05/19/2015 11:53:12,
25,05/19/2015 11:53:16,
18,05/19/2015 11:53:18,
14,05/19/2015 11:53:25,
18,05/19/2015 11:53:27,
16,05/19/2015 11:53:36,
31,05/19/2015 11:53:40,
16,05/19/2015 11:53:43,
31,05/19/2015 11:53:52,
23,05/19/2015 11:53:58,
14,05/19/2015 11:54:01,
14,05/19/2015 11:54:03,
17,05/19/2015 11:54:03,
17,05/19/2015 11:54:03,
17,05/19/2015 11:54:03,
17,05/19/2015 11:54:05,
23,05/19/2015 11:54:12,
31,05/19/2015 11:54:16,
22,05/19/2015 11:54:19,
12,05/19/2015 11:54:21,
12,05/19/2015 11:54:23,
12,05/19/2015 11:54:30,
