('23.49897785', '87.30944598') ['11:48:16']
('23.50020154', '87.3058761') ['11:49:20']
('23.50316296', '87.30741715') ['11:51:08']
('23.50729223', '87.30989167') ['11:52:30']
('23.52841901', '87.31108421') ['11:57:31']
('23.53511171', '87.29761608') ['12:01:11']
('23.53514085', '87.29757603') ['12:04:21']
('23.53514644', '87.29759056') ['12:02:21']
('23.53719891', '87.2965475') ['12:06:09']
('23.53751649', '87.29673897') ['12:06:53']
('23.53786186', '87.29754385') ['12:07:45']
('23.54164808', '87.30002658') ['12:08:57']
('23.54238784', '87.30694066') ['12:11:10']
('23.54334742', '87.304769') ['12:10:30']
('23.5459739', '87.30936292') ['12:12:28']
('23.54663392', '87.30979613') ['12:12:58']
('23.54824982', '87.30369321') ['12:14:07']
('23.55211052', '87.29673518') ['12:15:34']
('23.55994442', '87.29865131') ['12:17:16']
('23.56278097', '87.29864786') ['12:18:07']
('23.56438537', '87.28296114') ['12:47:18']
('23.56613848', '87.28501672') ['12:45:51']
('23.5679866', '87.29880209') ['12:19:14']
('23.57203239', '87.30255782') ['12:21:04']
('23.57213269', '87.30257688') ['12:21:38']
('23.57222321', '87.27734443') ['12:42:02']
('23.57396771', '87.27636493') ['12:41:16']
('23.57397433', '87.29906594') ['12:23:17']
('23.5740716', '87.29848152') ['12:23:45']
('23.57505975', '87.29147895') ['12:26:33']
('23.57653318', '87.27493569') ['12:40:22']
('23.57864231', '87.28237678') ['12:36:30']
('23.57934031', '87.29150392') ['12:27:53']
('23.58002658', '87.28743126') ['12:29:17']
('23.58215162', '87.27600691') ['12:38:06']
('23.58217453', '87.27578947') ['12:38:27']
('23.58304441', '87.28750946') ['12:30:12']
('23.58448408', '87.28351022') ['12:34:30']
('23.58883051', '87.28203377') ['12:33:20']
('23.58891108', '87.28625768') ['12:31:51']
('23.5906333', '87.28448894') ['12:32:29']
